x      v
0.0000 0.0000
0.0101 -0.0194
0.0202 -0.0472
0.0303 -0.0825
0.0404 -0.1246
0.0505 -0.1729
0.0606 -0.2267
0.0707 -0.2856
0.0808 -0.3490
0.0909 -0.4165
0.1010 -0.4877
0.1111 -0.5623
0.1212 -0.6400
0.1313 -0.7203
0.1414 -0.8032
0.1515 -0.8883
0.1616 -0.9754
0.1717 -1.0644
0.1818 -1.1550
0.1919 -1.2471
0.2020 -1.3406
0.2121 -1.4353
0.2222 -1.5311
0.2323 -1.6279
0.2424 -1.7256
0.2525 -1.8241
0.2626 -1.9233
0.2727 -2.0232
0.2828 -2.1238
0.2929 -2.2248
0.3030 -2.3264
0.3131 -2.4284
0.3232 -2.5308
0.3333 -2.6336
0.3434 -2.7367
0.3535 -2.8401
0.3636 -2.9438
0.3737 -3.0477
0.3838 -3.1518
0.3939 -3.2561
0.4040 -3.3606
0.4141 -3.4653
0.4242 -3.5701
0.4343 -3.6751
0.4444 -3.7801
0.4545 -3.8853
0.4646 -3.9906
0.4747 -4.0960
0.4848 -4.2014
0.4949 -4.3069
0.5051 -4.4125
0.5152 -4.5181
0.5253 -4.6238
0.5354 -4.7296
0.5455 -4.8354
0.5556 -4.9412
0.5657 -5.0471
0.5758 -5.1530
0.5859 -5.2589
0.5960 -5.3648
0.6061 -5.4708
0.6162 -5.5768
0.6263 -5.6828
0.6364 -5.7888
0.6465 -5.8949
0.6566 -6.0010
0.6667 -6.1070
0.6768 -6.2131
0.6869 -6.3192
0.6970 -6.4253
0.7071 -6.5314
0.7172 -6.6376
0.7273 -6.7437
0.7374 -6.8498
0.7475 -6.9560
0.7576 -7.0621
0.7677 -7.1683
0.7778 -7.2744
0.7879 -7.3806
0.7980 -7.4868
0.8081 -7.5929
0.8182 -7.6991
0.8283 -7.8053
0.8384 -7.9114
0.8485 -8.0176
0.8586 -8.1238
0.8687 -8.2300
0.8788 -8.3362
0.8889 -8.4423
0.8990 -8.5485
0.9091 -8.6547
0.9192 -8.7609
0.9293 -8.8671
0.9394 -8.9733
0.9495 -9.0795
0.9596 -9.1857
0.9697 -9.2919
0.9798 -9.3981
0.9899 -9.5042
1.0000 -9.6104
