   x      u
0.0000000000 0.0000000000
0.0100000000 0.0851630360
0.0200000000 0.1612701549
0.0300000000 0.2291831413
0.0400000000 0.2896817700
0.0500000000 0.3434716103
0.0600000000 0.3911910879
0.0700000000 0.4334178742
0.0800000000 0.4706746679
0.0900000000 0.5034344263
0.1000000000 0.5321250988
0.1100000000 0.5571339103
0.1200000000 0.5788112361
0.1300000000 0.5974741090
0.1400000000 0.6134093920
0.1500000000 0.6268766498
0.1600000000 0.6381107460
0.1700000000 0.6473241939
0.1800000000 0.6547092838
0.1900000000 0.6604400068
0.2000000000 0.6646737967
0.2100000000 0.6675531057
0.2200000000 0.6692068296
0.2300000000 0.6697515983
0.2400000000 0.6692929427
0.2500000000 0.6679263514
0.2600000000 0.6657382258
0.2700000000 0.6628067452
0.2800000000 0.6592026494
0.2900000000 0.6549899459
0.3000000000 0.6502265516
0.3100000000 0.6449648716
0.3200000000 0.6392523240
0.3300000000 0.6331318146
0.3400000000 0.6266421660
0.3500000000 0.6198185066
0.3600000000 0.6126926215
0.3700000000 0.6052932715
0.3800000000 0.5976464801
0.3900000000 0.5897757945
0.4000000000 0.5817025211
0.4100000000 0.5734459386
0.4200000000 0.5650234912
0.4300000000 0.5564509630
0.4400000000 0.5477426361
0.4500000000 0.5389114334
0.4600000000 0.5299690482
0.4700000000 0.5209260609
0.4800000000 0.5117920449
0.4900000000 0.5025756629
0.5000000000 0.4932847530
0.5100000000 0.4839264074
0.5200000000 0.4745070435
0.5300000000 0.4650324681
0.5400000000 0.4555079350
0.5500000000 0.4459381985
0.5600000000 0.4363275602
0.5700000000 0.4266799125
0.5800000000 0.4169987772
0.5900000000 0.4072873411
0.6000000000 0.3975484878
0.6100000000 0.3877848262
0.6200000000 0.3779987173
0.6300000000 0.3681922972
0.6400000000 0.3583674987
0.6500000000 0.3485260708
0.6600000000 0.3386695959
0.6700000000 0.3287995061
0.6800000000 0.3189170968
0.6900000000 0.3090235405
0.7000000000 0.2991198980
0.7100000000 0.2892071290
0.7200000000 0.2792861021
0.7300000000 0.2693576032
0.7400000000 0.2594223432
0.7500000000 0.2494809656
0.7600000000 0.2395340525
0.7700000000 0.2295821308
0.7800000000 0.2196256770
0.7900000000 0.2096651224
0.8000000000 0.1997008573
0.8100000000 0.1897332348
0.8200000000 0.1797625744
0.8300000000 0.1697891651
0.8400000000 0.1598132686
0.8500000000 0.1498351216
0.8600000000 0.1398549381
0.8700000000 0.1298729121
0.8800000000 0.1198892189
0.8900000000 0.1099040170
0.9000000000 0.0999174501
0.9100000000 0.0899296481
0.9200000000 0.0799407285
0.9300000000 0.0699507977
0.9400000000 0.0599599519
0.9500000000 0.0499682781
0.9600000000 0.0399758552
0.9700000000 0.0299827544
0.9800000000 0.0199890403
0.9900000000 0.0099947712
