   x      u
0.0000000000 0.0000000000
0.0010010010 0.0089591211
0.0020020020 0.0178190390
0.0030030030 0.0265807419
0.0040040040 0.0352452079
0.0050050050 0.0438134056
0.0060060060 0.0522862938
0.0070070070 0.0606648218
0.0080080080 0.0689499294
0.0090090090 0.0771425472
0.0100100100 0.0852435962
0.0110110110 0.0932539886
0.0120120120 0.1011746272
0.0130130130 0.1090064061
0.0140140140 0.1167502103
0.0150150150 0.1244069160
0.0160160160 0.1319773907
0.0170170170 0.1394624933
0.0180180180 0.1468630742
0.0190190190 0.1541799751
0.0200200200 0.1614140295
0.0210210210 0.1685660625
0.0220220220 0.1756368912
0.0230230230 0.1826273243
0.0240240240 0.1895381626
0.0250250250 0.1963701987
0.0260260260 0.2031242177
0.0270270270 0.2098009966
0.0280280280 0.2164013046
0.0290290290 0.2229259034
0.0300300300 0.2293755472
0.0310310310 0.2357509824
0.0320320320 0.2420529482
0.0330330330 0.2482821763
0.0340340340 0.2544393913
0.0350350350 0.2605253103
0.0360360360 0.2665406435
0.0370370370 0.2724860940
0.0380380380 0.2783623577
0.0390390390 0.2841701237
0.0400400400 0.2899100744
0.0410410410 0.2955828852
0.0420420420 0.3011892247
0.0430430430 0.3067297550
0.0440440440 0.3122051317
0.0450450450 0.3176160036
0.0460460460 0.3229630132
0.0470470470 0.3282467966
0.0480480480 0.3334679835
0.0490490490 0.3386271973
0.0500500501 0.3437250554
0.0510510511 0.3487621689
0.0520520521 0.3537391428
0.0530530531 0.3586565760
0.0540540541 0.3635150616
0.0550550551 0.3683151867
0.0560560561 0.3730575326
0.0570570571 0.3777426748
0.0580580581 0.3823711830
0.0590590591 0.3869436213
0.0600600601 0.3914605482
0.0610610611 0.3959225166
0.0620620621 0.4003300738
0.0630630631 0.4046837618
0.0640640641 0.4089841172
0.0650650651 0.4132316711
0.0660660661 0.4174269494
0.0670670671 0.4215704729
0.0680680681 0.4256627569
0.0690690691 0.4297043119
0.0700700701 0.4336956431
0.0710710711 0.4376372507
0.0720720721 0.4415296301
0.0730730731 0.4453732714
0.0740740741 0.4491686602
0.0750750751 0.4529162770
0.0760760761 0.4566165977
0.0770770771 0.4602700933
0.0780780781 0.4638772303
0.0790790791 0.4674384702
0.0800800801 0.4709542704
0.0810810811 0.4744250833
0.0820820821 0.4778513571
0.0830830831 0.4812335353
0.0840840841 0.4845720572
0.0850850851 0.4878673575
0.0860860861 0.4911198668
0.0870870871 0.4943300113
0.0880880881 0.4974982129
0.0890890891 0.5006248893
0.0900900901 0.5037104543
0.0910910911 0.5067553172
0.0920920921 0.5097598834
0.0930930931 0.5127245543
0.0940940941 0.5156497273
0.0950950951 0.5185357957
0.0960960961 0.5213831491
0.0970970971 0.5241921730
0.0980980981 0.5269632492
0.0990990991 0.5296967557
0.1001001001 0.5323930667
0.1011011011 0.5350525526
0.1021021021 0.5376755803
0.1031031031 0.5402625128
0.1041041041 0.5428137096
0.1051051051 0.5453295268
0.1061061061 0.5478103166
0.1071071071 0.5502564280
0.1081081081 0.5526682063
0.1091091091 0.5550459935
0.1101101101 0.5573901282
0.1111111111 0.5597009455
0.1121121121 0.5619787773
0.1131131131 0.5642239522
0.1141141141 0.5664367953
0.1151151151 0.5686176288
0.1161161161 0.5707667714
0.1171171171 0.5728845388
0.1181181181 0.5749712434
0.1191191191 0.5770271948
0.1201201201 0.5790526991
0.1211211211 0.5810480596
0.1221221221 0.5830135766
0.1231231231 0.5849495473
0.1241241241 0.5868562660
0.1251251251 0.5887340240
0.1261261261 0.5905831098
0.1271271271 0.5924038090
0.1281281281 0.5941964043
0.1291291291 0.5959611756
0.1301301301 0.5976984001
0.1311311311 0.5994083520
0.1321321321 0.6010913032
0.1331331331 0.6027475224
0.1341341341 0.6043772759
0.1351351351 0.6059808274
0.1361361361 0.6075584378
0.1371371371 0.6091103655
0.1381381381 0.6106368663
0.1391391391 0.6121381934
0.1401401401 0.6136145976
0.1411411411 0.6150663271
0.1421421421 0.6164936276
0.1431431431 0.6178967426
0.1441441441 0.6192759128
0.1451451451 0.6206313768
0.1461461461 0.6219633706
0.1471471471 0.6232721281
0.1481481481 0.6245578807
0.1491491491 0.6258208575
0.1501501502 0.6270612854
0.1511511512 0.6282793889
0.1521521522 0.6294753904
