   x        v
0.0000 0.0000
0.0101 -0.1803
0.0202 -0.2561
0.0303 -0.3236
0.0404 -0.3836
0.0505 -0.4367
0.0606 -0.4837
0.0707 -0.5251
0.0808 -0.5615
0.0909 -0.5934
0.1010 -0.6211
0.1111 -0.6451
0.1212 -0.6658
0.1313 -0.6834
0.1414 -0.6983
0.1515 -0.7107
0.1616 -0.7208
0.1717 -0.7289
0.1818 -0.7352
0.1919 -0.7399
0.2020 -0.7430
0.2121 -0.7448
0.2222 -0.7454
0.2323 -0.7448
0.2424 -0.7433
0.2525 -0.7408
0.2626 -0.7376
0.2727 -0.7336
0.2828 -0.7289
0.2929 -0.7236
0.3030 -0.7178
0.3131 -0.7115
0.3232 -0.7048
0.3333 -0.6976
0.3434 -0.6901
0.3535 -0.6823
0.3636 -0.6741
0.3737 -0.6657
0.3838 -0.6570
0.3939 -0.6482
0.4040 -0.6391
0.4141 -0.6298
0.4242 -0.6204
0.4343 -0.6108
0.4444 -0.6012
0.4545 -0.5913
0.4646 -0.5814
0.4747 -0.5714
0.4848 -0.5613
0.4949 -0.5511
0.5051 -0.5408
0.5152 -0.5305
0.5253 -0.5201
0.5354 -0.5097
0.5455 -0.4992
0.5556 -0.4886
0.5657 -0.4781
0.5758 -0.4675
0.5859 -0.4568
0.5960 -0.4462
0.6061 -0.4355
0.6162 -0.4247
0.6263 -0.4140
0.6364 -0.4032
0.6465 -0.3925
0.6566 -0.3817
0.6667 -0.3709
0.6768 -0.3600
0.6869 -0.3492
0.6970 -0.3384
0.7071 -0.3275
0.7172 -0.3166
0.7273 -0.3058
0.7374 -0.2949
0.7475 -0.2840
0.7576 -0.2731
0.7677 -0.2622
0.7778 -0.2513
0.7879 -0.2404
0.7980 -0.2295
0.8081 -0.2186
0.8182 -0.2077
0.8283 -0.1968
0.8384 -0.1859
0.8485 -0.1749
0.8586 -0.1640
0.8687 -0.1531
0.8788 -0.1422
0.8889 -0.1312
0.8990 -0.1203
0.9091 -0.1094
0.9192 -0.0984
0.9293 -0.0875
0.9394 -0.0766
0.9495 -0.0656
0.9596 -0.0547
0.9697 -0.0438
0.9798 -0.0328
0.9899 -0.0219
1.0000 0.0000
