   x      v
0.0000000000 -0.0000000000
0.0000100001 0.0001800009
0.0000200002 0.0002699864
0.0000300003 0.0003599618
0.0000400004 0.0004499273
0.0000500005 0.0005398827
0.0000600006 0.0006298282
0.0000700007 0.0007197637
0.0000800008 0.0008096892
0.0000900009 0.0008996047
0.0001000010 0.0009895101
0.0001100011 0.0010794057
0.0001200012 0.0011692912
0.0001300013 0.0012591667
0.0001400014 0.0013490322
0.0001500015 0.0014388878
0.0001600016 0.0015287334
0.0001700017 0.0016185690
0.0001800018 0.0017083946
0.0001900019 0.0017982102
0.0002000020 0.0018880158
0.0002100021 0.0019778115
0.0002200022 0.0020675972
0.0002300023 0.0021573729
0.0002400024 0.0022471386
0.0002500025 0.0023368943
0.0002600026 0.0024266401
0.0002700027 0.0025163759
0.0002800028 0.0026061017
0.0002900029 0.0026958176
0.0003000030 0.0027855235
0.0003100031 0.0028752194
0.0003200032 0.0029649053
0.0003300033 0.0030545813
0.0003400034 0.0031442473
0.0003500035 0.0032339034
0.0003600036 0.0033235494
0.0003700037 0.0034131855
0.0003800038 0.0035028117
0.0003900039 0.0035924279
0.0004000040 0.0036820341
0.0004100041 0.0037716304
0.0004200042 0.0038612167
0.0004300043 0.0039507930
0.0004400044 0.0040403594
0.0004500045 0.0041299158
0.0004600046 0.0042194623
0.0004700047 0.0043089988
0.0004800048 0.0043985254
0.0004900049 0.0044880420
0.0005000050 0.0045775487
0.0005100051 0.0046670454
0.0005200052 0.0047565322
0.0005300053 0.0048460090
0.0005400054 0.0049354759
0.0005500055 0.0050249328
0.0005600056 0.0051143798
0.0005700057 0.0052038168
0.0005800058 0.0052932439
0.0005900059 0.0053826611
0.0006000060 0.0054720683
0.0006100061 0.0055614655
0.0006200062 0.0056508529
0.0006300063 0.0057402303
0.0006400064 0.0058295977
0.0006500065 0.0059189552
0.0006600066 0.0060083028
0.0006700067 0.0060976405
0.0006800068 0.0061869682
0.0006900069 0.0062762860
0.0007000070 0.0063655938
0.0007100071 0.0064548917
0.0007200072 0.0065441797
0.0007300073 0.0066334578
0.0007400074 0.0067227259
0.0007500075 0.0068119841
0.0007600076 0.0069012324
0.0007700077 0.0069904708
0.0007800078 0.0070796992
0.0007900079 0.0071689177
0.0008000080 0.0072581263
0.0008100081 0.0073473250
0.0008200082 0.0074365137
0.0008300083 0.0075256925
0.0008400084 0.0076148615
0.0008500085 0.0077040204
0.0008600086 0.0077931695
0.0008700087 0.0078823087
0.0008800088 0.0079714380
0.0008900089 0.0080605573
0.0009000090 0.0081496667
0.0009100091 0.0082387662
0.0009200092 0.0083278559
0.0009300093 0.0084169356
0.0009400094 0.0085060053
0.0009500095 0.0085950652
0.0009600096 0.0086841152
0.0009700097 0.0087731553
0.0009800098 0.0088621855
0.0009900099 0.0089512057
0.0010000100 0.0090402161
0.0010100101 0.0091292166
0.0010200102 0.0092182071
0.0010300103 0.0093071878
0.0010400104 0.0093961586
0.0010500105 0.0094851194
0.0010600106 0.0095740704
0.0010700107 0.0096630115
0.0010800108 0.0097519427
0.0010900109 0.0098408640
0.0011000110 0.0099297754
0.0011100111 0.0100186769
0.0011200112 0.0101075685
0.0011300113 0.0101964503
0.0011400114 0.0102853221
0.0011500115 0.0103741841
0.0011600116 0.0104630362
0.0011700117 0.0105518784
0.0011800118 0.0106407107
0.0011900119 0.0107295331
0.0012000120 0.0108183456
0.0012100121 0.0109071483
0.0012200122 0.0109959411
0.0012300123 0.0110847240
0.0012400124 0.0111734970
0.0012500125 0.0112622601
0.0012600126 0.0113510134
0.0012700127 0.0114397568
0.0012800128 0.0115284903
0.0012900129 0.0116172140
0.0013000130 0.0117059278
0.0013100131 0.0117946317
0.0013200132 0.0118833257
0.0013300133 0.0119720099
0.0013400134 0.0120606842
0.0013500135 0.0121493486
0.0013600136 0.0122380032
0.0013700137 0.0123266479
0.0013800138 0.0124152827
0.0013900139 0.0125039077
0.0014000140 0.0125925228
0.0014100141 0.0126811280
0.0014200142 0.0127697234
0.0014300143 0.0128583090
0.0014400144 0.0129468846
0.0014500145 0.0130354504
0.0014600146 0.0131240064
0.0014700147 0.0132125525
0.0014800148 0.0133010888
0.0014900149 0.0133896152
0.0015000150 0.0134781317
0.0015100151 0.0135666384
0.0015200152 0.0136551352
0.0015300153 0.0137436222
0.0015400154 0.0138320994
0.0015500155 0.0139205667
0.0015600156 0.0140090241
0.0015700157 0.0140974717
0.0015800158 0.0141859095
0.0015900159 0.0142743374
0.0016000160 0.0143627555
0.0016100161 0.0144511637
0.0016200162 0.0145395621
0.0016300163 0.0146279507
0.0016400164 0.0147163294
0.0016500165 0.0148046983
0.0016600166 0.0148930573
0.0016700167 0.0149814065
0.0016800168 0.0150697459
0.0016900169 0.0151580754
0.0017000170 0.0152463951
0.0017100171 0.0153347050
0.0017200172 0.0154230050
0.0017300173 0.0155112952
0.0017400174 0.0155995756
0.0017500175 0.0156878462
0.0017600176 0.0157761069
0.0017700177 0.0158643578
0.0017800178 0.0159525989
0.0017900179 0.0160408301
0.0018000180 0.0161290516
0.0018100181 0.0162172632
0.0018200182 0.0163054650
0.0018300183 0.0163936570
0.0018400184 0.0164818391
0.0018500185 0.0165700114
0.0018600186 0.0166581740
0.0018700187 0.0167463267
0.0018800188 0.0168344695
0.0018900189 0.0169226026
0.0019000190 0.0170107259
0.0019100191 0.0170988393
0.0019200192 0.0171869430
0.0019300193 0.0172750368
0.0019400194 0.0173631208
0.0019500195 0.0174511950
0.0019600196 0.0175392594
0.0019700197 0.0176273140
0.0019800198 0.0177153588
0.0019900199 0.0178033938
0.0020000200 0.0178914190
0.0020100201 0.0179794343
0.0020200202 0.0180674399
0.0020300203 0.0181554357
0.0020400204 0.0182434217
0.0020500205 0.0183313979
0.0020600206 0.0184193642
0.0020700207 0.0185073208
0.0020800208 0.0185952676
0.0020900209 0.0186832046
0.0021000210 0.0187711318
0.0021100211 0.0188590492
0.0021200212 0.0189469569
0.0021300213 0.0190348547
0.0021400214 0.0191227427
0.0021500215 0.0192106210
0.0021600216 0.0192984895
0.0021700217 0.0193863481
0.0021800218 0.0194741970
0.0021900219 0.0195620361
0.0022000220 0.0196498655
0.0022100221 0.0197376850
0.0022200222 0.0198254948
0.0022300223 0.0199132948
0.0022400224 0.0200010850
0.0022500225 0.0200888654
0.0022600226 0.0201766360
0.0022700227 0.0202643969
0.0022800228 0.0203521480
0.0022900229 0.0204398893
0.0023000230 0.0205276208
0.0023100231 0.0206153426
0.0023200232 0.0207030546
0.0023300233 0.0207907568
0.0023400234 0.0208784493
0.0023500235 0.0209661320
0.0023600236 0.0210538049
0.0023700237 0.0211414681
0.0023800238 0.0212291214
0.0023900239 0.0213167651
0.0024000240 0.0214043989
0.0024100241 0.0214920230
0.0024200242 0.0215796374
0.0024300243 0.0216672419
0.0024400244 0.0217548367
0.0024500245 0.0218424218
0.0024600246 0.0219299971
0.0024700247 0.0220175626
0.0024800248 0.0221051184
0.0024900249 0.0221926644
0.0025000250 0.0222802007
0.0025100251 0.0223677272
0.0025200252 0.0224552440
0.0025300253 0.0225427510
0.0025400254 0.0226302483
0.0025500255 0.0227177358
0.0025600256 0.0228052136
0.0025700257 0.0228926816
0.0025800258 0.0229801399
0.0025900259 0.0230675884
0.0026000260 0.0231550272
0.0026100261 0.0232424562
0.0026200262 0.0233298755
0.0026300263 0.0234172851
0.0026400264 0.0235046849
0.0026500265 0.0235920750
0.0026600266 0.0236794553
0.0026700267 0.0237668259
0.0026800268 0.0238541868
0.0026900269 0.0239415379
0.0027000270 0.0240288793
0.0027100271 0.0241162109
0.0027200272 0.0242035329
0.0027300273 0.0242908451
0.0027400274 0.0243781475
0.0027500275 0.0244654403
0.0027600276 0.0245527233
0.0027700277 0.0246399965
0.0027800278 0.0247272601
0.0027900279 0.0248145139
0.0028000280 0.0249017580
0.0028100281 0.0249889924
0.0028200282 0.0250762170
0.0028300283 0.0251634320
0.0028400284 0.0252506372
0.0028500285 0.0253378327
0.0028600286 0.0254250184
0.0028700287 0.0255121945
0.0028800288 0.0255993608
0.0028900289 0.0256865174
0.0029000290 0.0257736643
0.0029100291 0.0258608015
0.0029200292 0.0259479290
0.0029300293 0.0260350467
0.0029400294 0.0261221548
0.0029500295 0.0262092531
0.0029600296 0.0262963418
0.0029700297 0.0263834207
0.0029800298 0.0264704899
0.0029900299 0.0265575494
0.0030000300 0.0266445992
0.0030100301 0.0267316393
0.0030200302 0.0268186697
0.0030300303 0.0269056904
0.0030400304 0.0269927014
0.0030500305 0.0270797027
0.0030600306 0.0271666942
0.0030700307 0.0272536761
0.0030800308 0.0273406483
0.0030900309 0.0274276108
0.0031000310 0.0275145636
0.0031100311 0.0276015067
0.0031200312 0.0276884401
0.0031300313 0.0277753638
0.0031400314 0.0278622779
0.0031500315 0.0279491822
0.0031600316 0.0280360768
0.0031700317 0.0281229618
0.0031800318 0.0282098371
0.0031900319 0.0282967026
0.0032000320 0.0283835585
0.0032100321 0.0284704047
0.0032200322 0.0285572413
0.0032300323 0.0286440681
0.0032400324 0.0287308853
0.0032500325 0.0288176927
0.0032600326 0.0289044905
0.0032700327 0.0289912786
0.0032800328 0.0290780571
0.0032900329 0.0291648258
0.0033000330 0.0292515849
0.0033100331 0.0293383343
0.0033200332 0.0294250741
0.0033300333 0.0295118041
0.0033400334 0.0295985245
0.0033500335 0.0296852352
0.0033600336 0.0297719363
0.0033700337 0.0298586276
0.0033800338 0.0299453094
0.0033900339 0.0300319814
0.0034000340 0.0301186438
0.0034100341 0.0302052965
