   x      u
0.0000 0.0000
0.0101 0.0860
0.0202 0.1627
0.0303 0.2311
0.0404 0.2920
0.0505 0.3460
0.0606 0.3939
0.0707 0.4362
0.0808 0.4735
0.0909 0.5062
0.1010 0.5348
0.1111 0.5597
0.1212 0.5812
0.1313 0.5997
0.1414 0.6155
0.1515 0.6287
0.1616 0.6397
0.1717 0.6487
0.1818 0.6559
0.1919 0.6614
0.2020 0.6654
0.2121 0.6680
0.2222 0.6694
0.2323 0.6697
0.2424 0.6690
0.2525 0.6674
0.2626 0.6650
0.2727 0.6619
0.2828 0.6581
0.2929 0.6536
0.3030 0.6487
0.3131 0.6432
0.3232 0.6373
0.3333 0.6310
0.3434 0.6243
0.3535 0.6173
0.3636 0.6100
0.3737 0.6025
0.3838 0.5947
0.3939 0.5866
0.4040 0.5784
0.4141 0.5700
0.4242 0.5614
0.4343 0.5527
0.4444 0.5438
0.4545 0.5349
0.4646 0.5258
0.4747 0.5166
0.4848 0.5073
0.4949 0.4980
0.5051 0.4886
0.5152 0.4791
0.5253 0.4695
0.5354 0.4599
0.5455 0.4503
0.5556 0.4406
0.5657 0.4309
0.5758 0.4211
0.5859 0.4113
0.5960 0.4015
0.6061 0.3916
0.6162 0.3818
0.6263 0.3719
0.6364 0.3619
0.6465 0.3520
0.6566 0.3421
0.6667 0.3321
0.6768 0.3221
0.6869 0.3121
0.6970 0.3021
0.7071 0.2921
0.7172 0.2821
0.7273 0.2721
0.7374 0.2620
0.7475 0.2520
0.7576 0.2419
0.7677 0.2319
0.7778 0.2218
0.7879 0.2118
0.7980 0.2017
0.8081 0.1916
0.8182 0.1816
0.8283 0.1715
0.8384 0.1614
0.8485 0.1513
0.8586 0.1413
0.8687 0.1312
0.8788 0.1211
0.8889 0.1110
0.8990 0.1009
0.9091 0.0908
0.9192 0.0807
0.9293 0.0707
0.9394 0.0606
0.9495 0.0505
0.9596 0.0404
0.9697 0.0303
0.9798 0.0202
0.9899 0.0101
1.0000 0.0000
