   x      u
0.0000000000 0.0000000000
0.0010010010 -0.0180021914
0.0020020020 -0.0268539846
0.0030030030 -0.0356075636
0.0040040040 -0.0442639066
0.0050050050 -0.0528239821
0.0060060060 -0.0612887489
0.0070070070 -0.0696591562
0.0080080080 -0.0779361439
0.0090090090 -0.0861206426
0.0100100100 -0.0942135732
0.0110110110 -0.1022158480
0.0120120120 -0.1101283698
0.0130130130 -0.1179520326
0.0140140140 -0.1256877214
0.0150150150 -0.1333363125
0.0160160160 -0.1408986733
0.0170170170 -0.1483756628
0.0180180180 -0.1557681311
0.0190190190 -0.1630769202
0.0200200200 -0.1703028635
0.0210210210 -0.1774467861
0.0220220220 -0.1845095051
0.0230230230 -0.1914918291
0.0240240240 -0.1983945590
0.0250250250 -0.2052184874
0.0260260260 -0.2119643993
0.0270270270 -0.2186330717
0.0280280280 -0.2252252739
0.0290290290 -0.2317417675
0.0300300300 -0.2381833067
0.0310310310 -0.2445506380
0.0320320320 -0.2508445005
0.0330330330 -0.2570656259
0.0340340340 -0.2632147387
0.0350350350 -0.2692925562
0.0360360360 -0.2752997885
0.0370370370 -0.2812371386
0.0380380380 -0.2871053026
0.0390390390 -0.2929049694
0.0400400400 -0.2986368215
0.0410410410 -0.3043015342
0.0420420420 -0.3098997762
0.0430430430 -0.3154322096
0.0440440440 -0.3208994898
0.0450450450 -0.3263022658
0.0460460460 -0.3316411801
0.0470470470 -0.3369168686
0.0480480480 -0.3421299612
0.0490490490 -0.3472810813
0.0500500501 -0.3523708462
0.0510510511 -0.3573998669
0.0520520521 -0.3623687484
0.0530530531 -0.3672780899
0.0540540541 -0.3721284842
0.0550550551 -0.3769205185
0.0560560561 -0.3816547742
0.0570570571 -0.3863318265
0.0580580581 -0.3909522454
0.0590590591 -0.3955165948
0.0600600601 -0.4000254333
0.0610610611 -0.4044793137
0.0620620621 -0.4088787834
0.0630630631 -0.4132243844
0.0640640641 -0.4175166532
0.0650650651 -0.4217561209
0.0660660661 -0.4259433135
0.0670670671 -0.4300787516
0.0680680681 -0.4341629508
0.0690690691 -0.4381964214
0.0700700701 -0.4421796685
0.0710710711 -0.4461131926
0.0720720721 -0.4499974887
0.0730730731 -0.4538330473
0.0740740741 -0.4576203536
0.0750750751 -0.4613598885
0.0760760761 -0.4650521276
0.0770770771 -0.4686975420
0.0780780781 -0.4722965981
0.0790790791 -0.4758497576
0.0800800801 -0.4793574777
0.0810810811 -0.4828202109
0.0820820821 -0.4862384054
0.0830830831 -0.4896125047
0.0840840841 -0.4929429480
0.0850850851 -0.4962301701
0.0860860861 -0.4994746016
0.0870870871 -0.5026766685
0.0880880881 -0.5058367930
0.0890890891 -0.5089553926
0.0900900901 -0.5120328811
0.0910910911 -0.5150696678
0.0920920921 -0.5180661583
0.0930930931 -0.5210227537
0.0940940941 -0.5239398516
0.0950950951 -0.5268178452
0.0960960961 -0.5296571241
0.0970970971 -0.5324580739
0.0980980981 -0.5352210763
0.0990990991 -0.5379465092
0.1001001001 -0.5406347470
0.1011011011 -0.5432861600
0.1021021021 -0.5459011151
0.1031031031 -0.5484799752
0.1041041041 -0.5510231001
0.1051051051 -0.5535308455
0.1061061061 -0.5560035639
0.1071071071 -0.5584416042
0.1081081081 -0.5608453117
0.1091091091 -0.5632150283
0.1101101101 -0.5655510927
0.1111111111 -0.5678538401
0.1121121121 -0.5701236022
0.1131131131 -0.5723607076
0.1141141141 -0.5745654815
0.1151151151 -0.5767382461
0.1161161161 -0.5788793200
0.1171171171 -0.5809890190
0.1181181181 -0.5830676556
0.1191191191 -0.5851155390
0.1201201201 -0.5871329757
0.1211211211 -0.5891202689
0.1221221221 -0.5910777188
0.1231231231 -0.5930056226
0.1241241241 -0.5949042747
0.1251251251 -0.5967739663
0.1261261261 -0.5986149860
0.1271271271 -0.6004276193
0.1281281281 -0.6022121489
0.1291291291 -0.6039688548
0.1301301301 -0.6056980140
0.1311311311 -0.6073999010
0.1321321321 -0.6090747874
0.1331331331 -0.6107229421
0.1341341341 -0.6123446313
0.1351351351 -0.6139401187
0.1361361361 -0.6155096652
0.1371371371 -0.6170535293
0.1381381381 -0.6185719666
0.1391391391 -0.6200652305
0.1401401401 -0.6215335716
0.1411411411 -0.6229772383
0.1421421421 -0.6243964762
0.1431431431 -0.6257915288
0.1441441441 -0.6271626368
0.1451451451 -0.6285100387
0.1461461461 -0.6298339708
0.1471471471 -0.6311346666
0.1481481481 -0.6324123578
0.1491491491 -0.6336672733
0.1501501502 -0.6348996401
0.1511511512 -0.6361096828
0.1521521522 -0.6372976236
0.1531531532 -0.6384636828
0.1541541542 -0.6396080782
0.1551551552 -0.6407310256
0.1561561562 -0.6418327387
0.1571571572 -0.6429134290
0.1581581582 -0.6439733058
0.1591591592 -0.6450125765
0.1601601602 -0.6460314462
0.1611611612 -0.6470301183
0.1621621622 -0.6480087937
0.1631631632 -0.6489676719
0.1641641642 -0.6499069498
0.1651651652 -0.6508268227
0.1661661662 -0.6517274839
0.1671671672 -0.6526091248
0.1681681682 -0.6534719348
0.1691691692 -0.6543161014
0.1701701702 -0.6551418104
0.1711711712 -0.6559492455
0.1721721722 -0.6567385889
0.1731731732 -0.6575100206
0.1741741742 -0.6582637191
0.1751751752 -0.6589998610
0.1761761762 -0.6597186212
0.1771771772 -0.6604201727
0.1781781782 -0.6611046871
0.1791791792 -0.6617723340
